idna_subject,checker_type,destination,tested_at
scontent.fiev1-1.fna.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:03.462126
external-hkg3-1.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:03.795822
scontent.fsjo1-1.fna.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:04.152132
external-lhr10-1.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:04.489390
fdda274d380ki4frcgi-rumjfjai1460158783-sonar.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:04.831283
f91858abe80k2geylvi-zhianuzp1521559729-sonar.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:05.186414
herningrideklub.netscontent-a-ams.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:05.500249
igcdn-origincache-all.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:05.820040
origincache-lla.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:06.151479
photos-a.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:06.467071
ncontent.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:06.874038
photos-a-ord.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:07.222199
photos-b-ord.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:07.566299
profile.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:07.936823
photos-b.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:08.315219
profile-a-iad.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:08.650765
profile-a.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:08.981663
profile-a-dfw.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:09.317015
profile-a-atl.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:09.691458
profile-a-lga.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:10.033451
profile-a-mia.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:10.345808
profile-a-lax.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:10.665922
profile-a-sea.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:11.023612
profile-a-ord.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:11.362793
profile-b.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:11.719019
profile-b-dfw.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:12.050620
profile-a-sjc.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:12.397276
profile-b-lga.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:12.712140
profile-b-iad.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:13.067160
profile-b-mia.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:13.378602
profile-b-sjc.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:13.707096
profile-b-ord.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:14.028276
scontent-a-pao.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:14.359476
scontent-b-pao.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:14.678938
scontent-hkg3-2.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:15.002990
scontent-lhr3-1.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:15.345259
scontent-icn1-1.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:15.662915
scontent-hkg3-1.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:15.980594
scontent-sit4-1.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:16.305511
scontent-sjc2-1.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:16.617024
sphotos-a.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:16.952208
sphotos.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:17.299046
sphotos-a-ams.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:17.615456
sphotos-a-atl.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:17.936081
sphotos-a-cdg.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:18.255936
sphotos-a-dfw.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:18.570529
sphotos-a-lax.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:18.937065
sphotos-a-iad.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:19.273733
sphotos-a-lga.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:19.588194
sphotos-a-mia.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:19.938396
sphotos-a-lhr.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:20.274490
sphotos-a-mxp.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:20.597493
sphotos-a-mad.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:20.917780
sphotos-a-sea.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:21.251330
sphotos-a-pao.xx.fbcdn.net,AVAILABILITY,domains.list,2023-10-29 02:19:21.580595
