idna_subject,checker_type,destination,source,tested_at,session_id
0-edge-chat-latest.messenger.com,AVAILABILITY,domains.list,domains.list,2022-10-03 04:22:46.701268,487c195961a67872bd1d6720
0-edge-chat.facebook.com,AVAILABILITY,domains.list,domains.list,2022-10-03 04:22:47.081483,487c195961a67872bd1d6720
0-edge-chat.messenger.com,AVAILABILITY,domains.list,domains.list,2022-10-03 04:22:47.446035,487c195961a67872bd1d6720
0.facebook.com,AVAILABILITY,domains.list,domains.list,2022-10-03 04:22:47.987706,487c195961a67872bd1d6720
0.messenger.com,AVAILABILITY,domains.list,domains.list,2022-10-03 04:22:48.798845,487c195961a67872bd1d6720
0n.fb.me,AVAILABILITY,domains.list,domains.list,2022-10-03 04:22:49.468513,487c195961a67872bd1d6720
1-edege-chat.messenger.com,AVAILABILITY,domains.list,domains.list,2022-10-03 04:22:49.878066,487c195961a67872bd1d6720
1-edge-chat.facebook.com,AVAILABILITY,domains.list,domains.list,2022-10-03 04:22:50.222270,487c195961a67872bd1d6720
1-edge-chat.messenger.com,AVAILABILITY,domains.list,domains.list,2022-10-03 04:22:50.656175,487c195961a67872bd1d6720
1-ml-in.facebook.com.tw,AVAILABILITY,domains.list,domains.list,2022-10-03 04:22:51.010504,487c195961a67872bd1d6720
1.m.me,AVAILABILITY,domains.list,domains.list,2022-10-03 04:22:51.626156,487c195961a67872bd1d6720
1907113739430074.fb.me,AVAILABILITY,domains.list,domains.list,2022-10-03 04:22:52.157541,487c195961a67872bd1d6720
2-edge-chat-latest.messenger.com,AVAILABILITY,domains.list,domains.list,2022-10-03 04:22:52.503036,487c195961a67872bd1d6720
2-edge-chat.facebook.com,AVAILABILITY,domains.list,domains.list,2022-10-03 04:22:52.905731,487c195961a67872bd1d6720
2-edge-chat.messenger.com,AVAILABILITY,domains.list,domains.list,2022-10-03 04:22:53.265311,487c195961a67872bd1d6720
2.m.me,AVAILABILITY,domains.list,domains.list,2022-10-03 04:22:53.854171,487c195961a67872bd1d6720
24im.messenger.com,AVAILABILITY,domains.list,domains.list,2022-10-03 04:22:54.602478,487c195961a67872bd1d6720
252fwww.messenger.com,AVAILABILITY,domains.list,domains.list,2022-10-03 04:22:55.275674,487c195961a67872bd1d6720
2fl.messenger.com,AVAILABILITY,domains.list,domains.list,2022-10-03 04:22:55.904966,487c195961a67872bd1d6720
2fwww.messenger.com,AVAILABILITY,domains.list,domains.list,2022-10-03 04:22:56.495447,487c195961a67872bd1d6720
3-edge-chat-latest.messenger.com,AVAILABILITY,domains.list,domains.list,2022-10-03 04:22:56.861367,487c195961a67872bd1d6720
3-edge-chat.facebook.com,AVAILABILITY,domains.list,domains.list,2022-10-03 04:22:57.239222,487c195961a67872bd1d6720
3-edge-chat.messenger.com,AVAILABILITY,domains.list,domains.list,2022-10-03 04:22:57.600706,487c195961a67872bd1d6720
3.fb.me,AVAILABILITY,domains.list,domains.list,2022-10-03 04:22:58.152578,487c195961a67872bd1d6720
3.m.me,AVAILABILITY,domains.list,domains.list,2022-10-03 04:22:58.799449,487c195961a67872bd1d6720
348214209341889.apps.fbsbx.com,AVAILABILITY,domains.list,domains.list,2022-10-03 04:22:59.271009,487c195961a67872bd1d6720
4-edge-chat-latest.messenger.com,AVAILABILITY,domains.list,domains.list,2022-10-03 04:22:59.622022,487c195961a67872bd1d6720
4-edge-chat.facebook.com,AVAILABILITY,domains.list,domains.list,2022-10-03 04:22:59.963999,487c195961a67872bd1d6720
4-edge-chat.messenger.com,AVAILABILITY,domains.list,domains.list,2022-10-03 04:23:00.327772,487c195961a67872bd1d6720
46.m.me,AVAILABILITY,domains.list,domains.list,2022-10-03 04:23:00.990289,487c195961a67872bd1d6720
5-edge-chat-latest.messenger.com,AVAILABILITY,domains.list,domains.list,2022-10-03 04:23:01.360905,487c195961a67872bd1d6720
5-edge-chat.facebook.com,AVAILABILITY,domains.list,domains.list,2022-10-03 04:23:01.737489,487c195961a67872bd1d6720
5-edge-chat.messenger.com,AVAILABILITY,domains.list,domains.list,2022-10-03 04:23:02.188672,487c195961a67872bd1d6720
6-edge-chat.facebook.com,AVAILABILITY,domains.list,domains.list,2022-10-03 04:23:02.576993,487c195961a67872bd1d6720
6-edge-chat.messenger.com,AVAILABILITY,domains.list,domains.list,2022-10-03 04:23:02.941647,487c195961a67872bd1d6720
9n.fb.me,AVAILABILITY,domains.list,domains.list,2022-10-03 04:23:03.465312,487c195961a67872bd1d6720
a.m.me,AVAILABILITY,domains.list,domains.list,2022-10-03 04:23:04.157958,487c195961a67872bd1d6720
a.ns.facebook.com,AVAILABILITY,domains.list,domains.list,2022-10-03 04:23:14.619225,487c195961a67872bd1d6720
a.ns.t.facebook.net,AVAILABILITY,domains.list,domains.list,2022-10-03 04:23:25.031171,487c195961a67872bd1d6720
a.ns.t.tfbnw.net,AVAILABILITY,domains.list,domains.list,2022-10-03 04:23:35.493035,487c195961a67872bd1d6720
